target,predictor,lag,E,final_rho,slope,improvement,p_value,significant,passed
SPEI_1M,Precipitation_1M,0,2,0.7827470000000001,8.201941301272969e-05,0.06292530000000007,0.0,True,True
SPEI_1M,Precipitation_1M,1,2,-0.0102512,-1.4147607142857142e-05,-0.0104206,0.8,False,False
SPEI_1M,Precipitation_1M,2,2,0.023342599999999995,3.752907142857142e-05,0.022487599999999996,0.0,True,False
SPEI_1M,Precipitation_1M,3,2,0.0468591,8.428657142857144e-05,0.0489152,0.2,False,False
SPEI_1M,Precipitation_1M,4,2,-0.0314756,-2.4619357142857144e-05,-0.0208879,0.6,False,False
SPEI_1M,Precipitation_1M,5,2,0.054926200000000015,9.882346428571427e-05,0.05762730000000001,0.2,False,False
SPEI_1M,Precipitation_1M,6,2,-0.0589663,-0.00011220667857142853,-0.0566419,1.0,False,False
SPEI_1M,Precipitation_1M,7,2,-0.060555899999999996,-7.366493506493507e-05,-0.0501432,0.6,False,False
SPEI_1M,Precipitation_1M,8,2,-0.0682957,-0.00010441782106782109,-0.0588247,1.0,False,False
SPEI_1M,Precipitation_1M,9,2,0.043157999999999995,8.848243145743149e-05,0.047970299999999994,0.4,False,False
SPEI_1M,Precipitation_1M,10,2,0.0160515,5.0651839826839826e-05,0.0253304,0.2,False,False
SPEI_1M,Precipitation_1M,11,2,-0.0765208,-0.00011155133477633482,-0.0702087,1.0,False,False
SPEI_1M,Precipitation_1M,12,2,0.0174073,1.546497113997114e-05,0.0145868,0.8,False,False
SPEI_1M,Precipitation_3M,0,2,0.27853990000000006,4.423642149929273e-05,0.04024480000000008,0.0,True,True
SPEI_1M,Precipitation_3M,1,2,0.025473499999999996,3.841399999999999e-05,0.022604599999999996,0.0,True,False
SPEI_1M,Precipitation_3M,2,2,0.012647599999999998,3.356239285714285e-05,0.019289999999999998,0.2,False,False
SPEI_1M,Precipitation_3M,3,2,0.0550158,0.0001150576071428571,0.06447,0.0,True,True
SPEI_1M,Precipitation_3M,4,2,0.07861609999999998,0.00014252260714285708,0.08652329999999998,0.2,False,False
SPEI_1M,Precipitation_3M,5,2,-0.0338849,-5.2927678571428584e-05,-0.027039300000000002,1.0,False,False
SPEI_1M,Precipitation_3M,6,2,-0.06656889999999999,-0.00010379774999999998,-0.06015729999999998,1.0,False,False
SPEI_1M,Precipitation_3M,7,2,0.025081400000000004,5.699610389610392e-05,0.030110500000000002,0.4,False,False
SPEI_1M,Precipitation_3M,8,2,0.04900079999999998,9.228347763347765e-05,0.05457829999999998,0.4,False,False
SPEI_1M,Precipitation_3M,9,2,0.029059899999999996,5.733795093795094e-05,0.0339608,0.2,False,False
SPEI_1M,Precipitation_3M,10,2,-0.0127972,-2.183365800865801e-05,-0.0115489,0.6,False,False
SPEI_1M,Precipitation_3M,11,2,0.027562099999999992,4.136327561327561e-05,0.030501499999999994,0.6,False,False
SPEI_1M,Precipitation_3M,12,2,0.09664429999999999,0.00017208860028860033,0.11031859999999999,0.0,True,True
SPEI_1M,Precipitation_6M,0,2,0.21792299999999998,0.00015094512022630825,0.09436159999999996,0.0,True,True
SPEI_1M,Precipitation_6M,1,2,0.09879059999999999,0.0001734740714285714,0.10055489999999999,0.0,True,True
SPEI_1M,Precipitation_6M,2,2,0.040636,7.649424999999998e-05,0.0399349,0.2,False,False
SPEI_1M,Precipitation_6M,3,2,0.0072891,3.0370892857142843e-05,0.014821299999999999,0.6,False,False
SPEI_1M,Precipitation_6M,4,2,-0.009354399999999999,-3.882214285714303e-06,-0.007369199999999999,0.8,False,False
SPEI_1M,Precipitation_6M,5,2,-0.029427799999999994,-4.9149642857142864e-05,-0.030147999999999994,0.4,False,False
SPEI_1M,Precipitation_6M,6,2,0.0195275,3.87505357142857e-05,0.0251829,0.2,False,False
SPEI_1M,Precipitation_6M,7,2,0.0482438,8.751111111111114e-05,0.0468919,0.2,False,False
SPEI_1M,Precipitation_6M,8,2,0.049552399999999996,8.31417748917749e-05,0.0502986,0.4,False,False
SPEI_1M,Precipitation_6M,9,2,0.04447239999999998,6.755883838383835e-05,0.04461889999999998,0.0,True,False
SPEI_1M,Precipitation_6M,10,2,0.0356692,5.5719660894660904e-05,0.0399995,0.4,False,False
SPEI_1M,Precipitation_6M,11,2,-0.0097142,-4.111796536796542e-06,0.008905799999999998,0.6,False,False
SPEI_1M,Precipitation_6M,12,2,-0.0164869,-1.013095238095238e-05,-0.0019224999999999971,0.6,False,False
SPEI_1M,Temperature_1M,0,2,0.06760279999999999,0.0001232385077793493,0.07696719999999999,0.2,False,False
SPEI_1M,Temperature_1M,1,2,0.020648099999999996,6.643610714285711e-05,0.03584169999999999,0.8,False,False
SPEI_1M,Temperature_1M,2,2,-0.011598900000000002,1.5327357142857135e-05,0.003777599999999999,0.6,False,False
SPEI_1M,Temperature_1M,3,2,-0.006658000000000001,6.4972857142857035e-06,0.0011016999999999989,0.6,False,False
SPEI_1M,Temperature_1M,4,2,0.031999400000000004,5.330110714285714e-05,0.0396161,0.6,False,False
SPEI_1M,Temperature_1M,5,2,0.04814350000000001,8.537467857142857e-05,0.053050500000000014,1.0,False,False
SPEI_1M,Temperature_1M,6,2,0.030616499999999998,8.13920714285714e-05,0.0473425,0.6,False,False
SPEI_1M,Temperature_1M,7,2,0.0015335,3.6498881673881705e-05,0.0183166,1.0,False,False
SPEI_1M,Temperature_1M,8,2,0.0321682,8.934462481962486e-05,0.0450357,0.0,True,False
SPEI_1M,Temperature_1M,9,2,0.014033000000000002,3.6260461760461765e-05,0.023008,0.2,False,False
SPEI_1M,Temperature_1M,10,2,0.045645,8.781774891774893e-05,0.048284999999999995,0.4,False,False
SPEI_1M,Temperature_1M,11,2,0.0342817,7.52892135642136e-05,0.039493799999999996,1.0,False,False
SPEI_1M,Temperature_1M,12,2,0.04579029999999999,0.00011506349206349213,0.0645666,0.6,False,False
SPEI_1M,Temperature_3M,0,2,0.022594299999999998,6.731891796322484e-05,0.0385882,1.0,False,False
SPEI_1M,Temperature_3M,1,2,-0.0121255,1.346792857142855e-05,0.0035423000000000017,0.6,False,False
SPEI_1M,Temperature_3M,2,2,-0.0011124000000000002,1.4180571428571419e-05,0.0078705,0.2,False,False
SPEI_1M,Temperature_3M,3,2,0.0284241,5.711046428571428e-05,0.0351316,1.0,False,False
SPEI_1M,Temperature_3M,4,2,0.059928499999999996,0.00011139228571428568,0.0676923,0.4,False,False
SPEI_1M,Temperature_3M,5,2,0.035738599999999995,7.952928571428566e-05,0.0460482,1.0,False,False
SPEI_1M,Temperature_3M,6,2,0.004243600000000001,4.8352285714285686e-05,0.0208894,0.8,False,False
SPEI_1M,Temperature_3M,7,2,0.005633100000000001,3.986251803751806e-05,0.0218707,0.0,True,False
SPEI_1M,Temperature_3M,8,2,0.031716,5.226428571428573e-05,0.0310665,0.0,True,False
SPEI_1M,Temperature_3M,9,2,0.04027650000000001,7.4627380952381e-05,0.042452800000000006,0.2,False,False
SPEI_1M,Temperature_3M,10,2,0.047136700000000004,0.00010165126262626266,0.05679000000000001,0.6,False,False
SPEI_1M,Temperature_3M,11,2,0.0476835,0.00010130346320346326,0.056173299999999995,0.4,False,False
SPEI_1M,Temperature_3M,12,2,0.026700500000000005,8.67208874458875e-05,0.049155000000000004,0.4,False,False
SPEI_1M,Temperature_6M,0,2,-0.011386699999999998,1.1816690240452619e-05,0.0056366,0.8,False,False
SPEI_1M,Temperature_6M,1,2,0.022485799999999997,5.183842857142857e-05,0.031058499999999996,0.4,False,False
SPEI_1M,Temperature_6M,2,2,0.05308310000000001,8.196232142857142e-05,0.050023200000000004,0.6,False,False
SPEI_1M,Temperature_6M,3,2,0.0431684,7.99463214285714e-05,0.0494469,0.8,False,False
SPEI_1M,Temperature_6M,4,2,0.019796700000000004,7.22161785714285e-05,0.040725500000000005,1.0,False,False
SPEI_1M,Temperature_6M,5,2,-0.0008979,3.857746428571426e-05,0.0183041,0.4,False,False
SPEI_1M,Temperature_6M,6,2,0.0031123,2.9738249999999993e-05,0.0073258,0.6,False,False
SPEI_1M,Temperature_6M,7,2,0.034496,6.813391053391055e-05,0.0393494,0.0,True,False
SPEI_1M,Temperature_6M,8,2,0.06095470000000001,0.00011363870851370856,0.0639981,0.0,True,True
SPEI_1M,Temperature_6M,9,2,0.054850100000000006,0.00011350147907647911,0.06339420000000001,0.2,False,False
SPEI_1M,Temperature_6M,10,2,0.0331703,9.675613275613284e-05,0.0522733,0.0,True,False
SPEI_1M,Temperature_6M,11,2,0.0098581,5.9687229437229496e-05,0.0301796,0.4,False,False
SPEI_1M,Temperature_6M,12,2,0.0044024,3.552774170274172e-05,0.0173629,0.6,False,False
