target,predictor,lag,E,final_rho,slope,improvement,p_value,significant,passed
SPI_3M,Precipitation_1M,0,2,0.4493454,3.1524929971988494e-05,0.03317159999999991,0.0,True,True
SPI_3M,Precipitation_1M,1,2,0.4471308,3.799289215686318e-05,0.041765099999999944,0.0,True,True
SPI_3M,Precipitation_1M,2,2,0.5932741,0.00018064278711484594,0.14597160000000003,0.0,True,True
SPI_3M,Precipitation_1M,3,2,-0.009967,-1.4571113445378168e-05,-0.0053598,0.6,False,False
SPI_3M,Precipitation_1M,4,2,0.0261044,7.119338235294119e-05,0.0393611,0.6,False,False
SPI_3M,Precipitation_1M,5,2,-0.014282500000000002,-1.3929306722689082e-05,-0.0008482000000000021,0.6,False,False
SPI_3M,Precipitation_1M,6,2,-0.006158999999999999,-1.0708875530410163e-05,-0.006210999999999999,0.6,False,False
SPI_3M,Precipitation_1M,7,2,0.0024202,-1.29978783592644e-06,0.0006711000000000002,0.6,False,False
SPI_3M,Precipitation_1M,8,2,-0.012345299999999998,-1.695297029702971e-05,-0.010305799999999999,0.4,False,False
SPI_3M,Precipitation_1M,9,2,0.018344999999999997,2.381159830268739e-05,0.012026099999999994,0.2,False,False
SPI_3M,Precipitation_1M,10,2,-0.05955040000000001,-8.895120226308343e-05,-0.05572520000000001,0.8,False,False
SPI_3M,Precipitation_1M,11,2,-0.10302730000000002,-0.00015575449080622344,-0.09765830000000002,1.0,False,False
SPI_3M,Precipitation_1M,12,2,-0.005799200000000001,-4.205321428571431e-06,-0.0076551,1.0,False,False
SPI_3M,Precipitation_3M,0,2,0.6853735000000001,2.2582317927170835e-05,0.02729640000000011,0.0,True,True
SPI_3M,Precipitation_3M,1,2,0.38735150000000007,4.084677871148495e-05,0.046193100000000153,0.0,True,True
SPI_3M,Precipitation_3M,2,2,0.1441867,3.092661064425768e-05,0.03566070000000002,0.0,True,True
SPI_3M,Precipitation_3M,3,2,-0.046232699999999995,-5.613932072829133e-05,-0.029626999999999994,0.8,False,False
SPI_3M,Precipitation_3M,4,2,0.0169149,2.2187780112044824e-05,0.0233464,0.6,False,False
SPI_3M,Precipitation_3M,5,2,0.028828299999999998,1.7023634453781534e-05,0.020814599999999996,0.4,False,False
SPI_3M,Precipitation_3M,6,2,0.030959000000000004,2.290806223479492e-05,0.021844900000000004,0.2,False,False
SPI_3M,Precipitation_3M,7,2,0.05861949999999999,7.767337340876941e-05,0.04588309999999999,0.0,True,True
SPI_3M,Precipitation_3M,8,2,-0.018435,-2.2623019801980205e-05,-0.015691300000000002,0.6,False,False
SPI_3M,Precipitation_3M,9,2,-0.08922840000000001,-0.00014854105374823197,-0.09357720000000001,1.0,False,False
SPI_3M,Precipitation_3M,10,2,-0.08043410000000001,-0.00014745148514851484,-0.0864101,1.0,False,False
SPI_3M,Precipitation_3M,11,2,0.005331499999999998,-4.8438826025459675e-06,0.0010806999999999978,0.8,False,False
SPI_3M,Precipitation_3M,12,2,-0.016382999999999998,-1.678917857142857e-05,-0.015284599999999999,1.0,False,False
SPI_3M,Precipitation_6M,0,2,0.3525005999999999,-1.7409068627450913e-05,-0.00555560000000016,0.0,True,False
SPI_3M,Precipitation_6M,1,2,0.15379869999999998,-2.960826330532217e-05,-6.290000000003237e-05,0.0,True,False
SPI_3M,Precipitation_6M,2,2,0.0372542,-3.2698984593837536e-05,-0.006957600000000001,0.0,True,False
SPI_3M,Precipitation_6M,3,2,-0.0339371,-7.24982843137255e-05,-0.0390286,0.8,False,False
SPI_3M,Precipitation_6M,4,2,0.0818935,9.661253501400564e-05,0.07201819999999999,0.0,True,True
SPI_3M,Precipitation_6M,5,2,0.08796450000000001,0.0001287258753501401,0.09210160000000002,0.0,True,True
SPI_3M,Precipitation_6M,6,2,0.0062756999999999995,8.126414427156995e-06,0.0052104,0.0,True,False
SPI_3M,Precipitation_6M,7,2,-0.0364081,-4.439915134370581e-05,-0.0305672,0.6,False,False
SPI_3M,Precipitation_6M,8,2,-0.0253239,-4.623147100424328e-05,-0.0335456,0.6,False,False
SPI_3M,Precipitation_6M,9,2,-0.0238463,-5.798656294200845e-05,-0.0313633,1.0,False,False
SPI_3M,Precipitation_6M,10,2,-0.011460099999999999,-3.6557390381895303e-05,-0.020227500000000002,0.8,False,False
SPI_3M,Precipitation_6M,11,2,-0.047995300000000005,-8.265456152758131e-05,-0.050583600000000006,0.8,False,False
SPI_3M,Precipitation_6M,12,2,-0.09222350000000003,-0.00013031903571428577,-0.07828000000000003,1.0,False,False
SPI_3M,Temperature_1M,0,2,0.04173749999999999,3.0321078431372637e-06,0.009570599999999992,0.0,True,False
SPI_3M,Temperature_1M,1,2,-0.0261754,-4.976484593837536e-05,-0.0199727,0.2,False,False
SPI_3M,Temperature_1M,2,2,-0.0772161,-9.801232492997203e-05,-0.061141,0.2,False,False
SPI_3M,Temperature_1M,3,2,-0.06644660000000001,-9.891743697478995e-05,-0.05849200000000001,0.8,False,False
SPI_3M,Temperature_1M,4,2,0.002850899999999999,-4.7627906162464946e-05,-0.019021300000000005,0.8,False,False
SPI_3M,Temperature_1M,5,2,0.0675654,1.4827871148459429e-05,0.013889799999999994,0.2,False,False
SPI_3M,Temperature_1M,6,2,0.024399099999999993,-8.771039603960388e-06,0.0028253999999999953,0.0,True,False
SPI_3M,Temperature_1M,7,2,-0.05585659999999999,-8.479006364922203e-05,-0.04719579999999999,1.0,False,False
SPI_3M,Temperature_1M,8,2,-0.0675275,-8.420067185289957e-05,-0.0527796,0.8,False,False
SPI_3M,Temperature_1M,9,2,-0.0329648,-6.286502828854314e-05,-0.0341971,0.6,False,False
SPI_3M,Temperature_1M,10,2,0.0474877,8.098974540311203e-06,0.0142353,0.4,False,False
SPI_3M,Temperature_1M,11,2,0.05072049999999999,8.45604667609618e-06,0.01656329999999999,0.6,False,False
SPI_3M,Temperature_1M,12,2,0.0216738,-3.7516071428571216e-06,-0.0003066999999999931,0.2,False,False
SPI_3M,Temperature_3M,0,2,-0.027767099999999992,-4.0853571428571436e-05,-0.023744899999999992,0.2,False,False
SPI_3M,Temperature_3M,1,2,-0.07490200000000001,-8.533858543417372e-05,-0.053937200000000005,0.4,False,False
SPI_3M,Temperature_3M,2,2,-0.0607688,-9.410395658263308e-05,-0.053265799999999995,0.6,False,False
SPI_3M,Temperature_3M,3,2,0.0049865,-5.640031512605038e-05,-0.0243332,0.6,False,False
SPI_3M,Temperature_3M,4,2,0.05227469999999999,-6.281057422969166e-06,0.010717900000000002,0.2,False,False
SPI_3M,Temperature_3M,5,2,0.018316699999999998,-8.969362745098026e-06,0.0035475000000000003,0.2,False,False
SPI_3M,Temperature_3M,6,2,-0.0404957,-6.260505657708627e-05,-0.0332819,0.4,False,False
SPI_3M,Temperature_3M,7,2,-0.0709516,-9.587616690240455e-05,-0.0569518,0.8,False,False
SPI_3M,Temperature_3M,8,2,-0.0358844,-5.778094059405938e-05,-0.030288799999999994,0.8,False,False
SPI_3M,Temperature_3M,9,2,0.031036499999999995,-7.955905233380447e-06,0.010860799999999993,0.4,False,False
SPI_3M,Temperature_3M,10,2,0.06026469999999998,1.939204384724183e-05,0.022224399999999978,0.4,False,False
SPI_3M,Temperature_3M,11,2,0.023799400000000005,1.1031117397454127e-06,0.006836100000000005,0.2,False,False
SPI_3M,Temperature_3M,12,2,-0.0336944,-4.7783357142857165e-05,-0.0305912,0.0,True,False
SPI_3M,Temperature_6M,0,2,-0.061660900000000005,-7.436638655462187e-05,-0.044272700000000005,0.0,True,False
SPI_3M,Temperature_6M,1,2,-0.020129000000000005,-6.412247899159666e-05,-0.0323468,0.2,False,False
SPI_3M,Temperature_6M,2,2,0.027162199999999997,-4.74176470588235e-05,-0.01903859999999999,0.0,True,False
SPI_3M,Temperature_6M,3,2,0.033262900000000005,-1.6674614845938387e-05,0.0037032000000000037,0.8,False,False
SPI_3M,Temperature_6M,4,2,-0.0048739000000000005,-4.079478291316526e-05,-0.015621200000000002,0.2,False,False
SPI_3M,Temperature_6M,5,2,-0.06598440000000001,-9.103508403361345e-05,-0.05582030000000001,0.4,False,False
SPI_3M,Temperature_6M,6,2,-0.0604989,-8.644497878359262e-05,-0.0468362,0.6,False,False
SPI_3M,Temperature_6M,7,2,-0.009357599999999999,-4.202514144271567e-05,-0.0176593,1.0,False,False
SPI_3M,Temperature_6M,8,2,0.04333,-5.1135431400282795e-06,0.00826940000000001,0.4,False,False
SPI_3M,Temperature_6M,9,2,0.0459861,7.976343705799202e-06,0.011754900000000006,0.2,False,False
SPI_3M,Temperature_6M,10,2,0.0016765,-2.6303041018387558e-05,-0.016030199999999998,0.0,True,False
SPI_3M,Temperature_6M,11,2,-0.0617439,-7.299579207920794e-05,-0.039344800000000006,0.4,False,False
SPI_3M,Temperature_6M,12,2,-0.045749500000000005,-5.866335714285715e-05,-0.028856200000000005,0.4,False,False
