target,predictor,lag,E,final_rho,slope,improvement,p_value,significant,passed
SPEI_3M,WP,0,2,0.038893000000000004,4.565997171145684e-05,0.028618400000000002,0.2,False,False
SPEI_3M,WP,1,2,0.07654860000000001,0.00011134400000000001,0.06817030000000002,0.0,True,True
SPEI_3M,WP,2,2,0.0163852,2.583860714285714e-05,0.0240128,0.2,False,False
SPEI_3M,WP,3,2,-0.030017499999999996,-3.6171392857142864e-05,-0.018679399999999992,0.6,False,False
SPEI_3M,WP,4,2,0.0036142999999999995,1.2620464285714276e-05,0.009200000000000002,0.8,False,False
SPEI_3M,WP,5,2,-0.020387699999999998,-7.439750000000016e-06,-0.0135124,0.4,False,False
SPEI_3M,WP,6,2,0.0051983,-2.158157142857139e-05,0.0002107000000000003,0.2,False,False
SPEI_3M,WP,7,2,0.010758700000000001,-2.436951659451663e-05,-0.0070025999999999994,0.6,False,False
SPEI_3M,WP,8,2,0.049468,6.176262626262627e-05,0.039482199999999995,0.0,True,False
SPEI_3M,WP,9,2,0.0089027,3.615180375180377e-05,0.012642,0.4,False,False
SPEI_3M,WP,10,2,0.0712905,0.00016441345598845603,0.0890702,0.0,True,True
SPEI_3M,WP,11,2,-0.0380828,-4.16760101010101e-05,-0.0205621,0.8,False,False
SPEI_3M,WP,12,2,-0.0314296,-1.9176587301587277e-05,-0.0141125,0.4,False,False
SPEI_3M,ONI,0,2,-0.0015854,6.1102192362093335e-06,-0.0005386000000000002,0.6,False,False
SPEI_3M,ONI,1,2,0.015594599999999998,1.930003571428572e-05,0.0106382,0.0,True,False
SPEI_3M,ONI,2,2,0.0334084,4.684496428571431e-05,0.035139,0.0,True,False
SPEI_3M,ONI,3,2,0.0631937,6.237475000000003e-05,0.046475900000000014,0.0,True,True
SPEI_3M,ONI,4,2,0.0843742,8.250985714285716e-05,0.059753999999999995,0.0,True,True
SPEI_3M,ONI,5,2,0.08163879999999998,7.67524642857143e-05,0.054481399999999985,0.0,True,True
SPEI_3M,ONI,6,2,0.08455580000000001,7.348546428571434e-05,0.051535600000000015,0.0,True,True
SPEI_3M,ONI,7,2,0.08862339999999999,9.01980158730159e-05,0.05886759999999999,0.0,True,True
SPEI_3M,ONI,8,2,0.0870207,0.00011832352092352095,0.07756110000000001,0.0,True,True
SPEI_3M,ONI,9,2,0.09392410000000001,0.000125511544011544,0.0742214,0.0,True,True
SPEI_3M,ONI,10,2,0.0926245,0.00015633852813852814,0.0956129,0.0,True,True
SPEI_3M,ONI,11,2,0.0951708,0.0001473408008658009,0.086647,0.0,True,True
SPEI_3M,ONI,12,2,0.0726048,0.0001322852813852814,0.07641959999999999,0.0,True,True
SPEI_3M,PNA,0,2,0.10022440000000002,0.00012685077793493635,0.08204490000000002,0.0,True,True
SPEI_3M,PNA,1,2,0.08274680000000002,8.829328571428581e-05,0.057873600000000025,0.0,True,True
SPEI_3M,PNA,2,2,0.08221899999999999,0.00011135739285714284,0.061671299999999984,0.0,True,True
SPEI_3M,PNA,3,2,-0.028337600000000004,-8.041774999999996e-05,-0.04163940000000001,0.4,False,False
SPEI_3M,PNA,4,2,0.05503610000000001,4.61251428571429e-05,0.026719500000000018,0.4,False,False
SPEI_3M,PNA,5,2,0.07116130000000001,0.00010273253571428575,0.06613780000000001,0.2,False,False
SPEI_3M,PNA,6,2,0.0667048,0.0001297491071428571,0.07919399999999999,0.4,False,False
SPEI_3M,PNA,7,2,0.0398519,8.735656565656569e-05,0.04971350000000001,0.4,False,False
SPEI_3M,PNA,8,2,0.0678884,0.00013953964646464648,0.0792985,0.0,True,True
SPEI_3M,PNA,9,2,0.0413357,8.800223665223668e-05,0.05319310000000001,0.0,True,False
SPEI_3M,PNA,10,2,-0.1152345,-0.0001893578282828283,-0.110972,1.0,False,False
SPEI_3M,PNA,11,2,-0.0539642,-6.569787157287158e-05,-0.0423621,0.8,False,False
SPEI_3M,PNA,12,2,-0.0549856,-9.133860028860032e-05,-0.048970400000000004,0.8,False,False
SPEI_3M,NAO,0,2,0.0033153999999999996,3.5981824611032506e-05,0.015059699999999999,0.6,False,False
SPEI_3M,NAO,1,2,-0.137137,-0.0001793665357142857,-0.10894590000000001,1.0,False,False
SPEI_3M,NAO,2,2,-0.0172615,-2.0178928571428573e-05,-0.0135669,0.4,False,False
SPEI_3M,NAO,3,2,-0.0734533,-0.00011269314285714285,-0.0719226,1.0,False,False
SPEI_3M,NAO,4,2,0.019330800000000002,1.8300535714285718e-05,0.016896500000000002,0.4,False,False
SPEI_3M,NAO,5,2,0.0756804,8.616021428571428e-05,0.0595379,0.0,True,True
SPEI_3M,NAO,6,2,0.08199030000000002,0.00010638453571428575,0.07213800000000001,0.0,True,True
SPEI_3M,NAO,7,2,-0.0218656,-1.914137806637806e-05,-0.010046399999999999,0.8,False,False
SPEI_3M,NAO,8,2,0.05864149999999999,8.19738455988456e-05,0.05624649999999999,0.0,True,True
SPEI_3M,NAO,9,2,0.004037499999999999,-1.050357142857143e-05,-0.005854,0.4,False,False
SPEI_3M,NAO,10,2,0.016262100000000005,2.7762265512265514e-05,0.021503200000000007,0.0,True,False
SPEI_3M,NAO,11,2,-0.09414489999999999,-0.00013575551948051946,-0.0797087,1.0,False,False
SPEI_3M,NAO,12,2,-0.0218428,-1.7410569985569988e-05,-0.010991500000000001,0.6,False,False
SPEI_3M,NINO34,0,2,0.0017785999999999995,3.643917963225158e-07,0.003698699999999998,0.4,False,False
SPEI_3M,NINO34,1,2,-0.013389100000000003,-3.879557142857141e-05,-0.021516300000000002,0.6,False,False
SPEI_3M,NINO34,2,2,0.009468299999999999,3.3129642857143107e-06,0.005184299999999998,0.4,False,False
SPEI_3M,NINO34,3,2,0.0339728,3.965000000000033e-06,0.010981899999999996,0.0,True,False
SPEI_3M,NINO34,4,2,0.06629789999999999,4.1804892857142883e-05,0.0365022,0.0,True,True
SPEI_3M,NINO34,5,2,0.05743059999999999,-5.185714285708619e-08,0.00824380000000001,0.0,True,False
SPEI_3M,NINO34,6,2,0.0692604,2.477714285714293e-05,0.022359800000000013,0.2,False,False
SPEI_3M,NINO34,7,2,0.0763288,7.485025252525252e-05,0.0523781,0.0,True,True
SPEI_3M,NINO34,8,2,0.0780293,9.854888167388167e-05,0.06140709999999999,0.0,True,True
SPEI_3M,NINO34,9,2,0.057777699999999994,8.819267676767676e-05,0.054620999999999996,0.0,True,True
SPEI_3M,NINO34,10,2,0.0696538,8.97775613275613e-05,0.0555082,0.0,True,True
SPEI_3M,NINO34,11,2,0.055091200000000014,8.885569985569988e-05,0.052206200000000015,0.2,False,False
SPEI_3M,NINO34,12,2,0.05185489999999999,9.48834054834055e-05,0.05947539999999999,0.2,False,False
SPEI_3M,PDO,0,2,0.0971186,0.00012249872701555867,0.07431009999999999,0.2,False,False
SPEI_3M,PDO,1,2,0.08655629999999999,0.00010072907142857144,0.06615369999999998,0.0,True,True
SPEI_3M,PDO,2,2,0.07772309999999999,8.113607142857141e-05,0.04523319999999999,0.0,True,True
SPEI_3M,PDO,3,2,0.09206619999999999,0.00010987503571428575,0.07094269999999998,0.0,True,True
SPEI_3M,PDO,4,2,0.04376309999999999,4.111003571428573e-05,0.024155699999999992,0.4,False,False
SPEI_3M,PDO,5,2,-0.0147491,-2.8672714285714278e-05,-0.0201681,0.4,False,False
SPEI_3M,PDO,6,2,0.030330499999999996,6.134846428571428e-05,0.033413099999999994,0.2,False,False
SPEI_3M,PDO,7,2,0.06694989999999999,0.00012264794372294374,0.07022899999999999,0.0,True,True
SPEI_3M,PDO,8,2,0.023656599999999996,5.2222510822510826e-05,0.029997599999999992,0.0,True,False
SPEI_3M,PDO,9,2,-0.0092631,-5.624675324675332e-06,-0.008940600000000002,0.6,False,False
SPEI_3M,PDO,10,2,-0.0296569,-2.454332611832611e-05,-0.0195167,0.8,False,False
SPEI_3M,PDO,11,2,-0.06209119999999999,-8.309906204906205e-05,-0.05822309999999999,0.6,False,False
SPEI_3M,PDO,12,2,-0.0550333,-5.94564935064935e-05,-0.0412473,0.8,False,False
SPEI_3M,SOLAR,0,2,-0.05057759999999999,-8.866386138613854e-05,-0.04350029999999999,1.0,False,False
SPEI_3M,SOLAR,1,2,-0.0161154,-4.042932142857141e-05,-0.0105434,0.8,False,False
SPEI_3M,SOLAR,2,2,0.0255307,2.9247035714285722e-05,0.028879,0.0,True,False
SPEI_3M,SOLAR,3,2,0.0076206,-1.7894107142857136e-05,8.959999999999871e-05,0.4,False,False
SPEI_3M,SOLAR,4,2,0.007338799999999999,-2.6289321428571414e-05,-0.0011551,0.8,False,False
SPEI_3M,SOLAR,5,2,0.005291399999999999,-4.7146785714285686e-05,-0.0167458,0.6,False,False
SPEI_3M,SOLAR,6,2,0.007254,-3.7261571428571387e-05,-0.004232900000000001,0.6,False,False
SPEI_3M,SOLAR,7,2,0.04500640000000001,3.822907647907647e-05,0.03482940000000001,0.2,False,False
SPEI_3M,SOLAR,8,2,0.022370799999999996,-7.549927849927872e-06,0.0017063999999999899,0.0,True,False
SPEI_3M,SOLAR,9,2,0.037594100000000005,-3.3238455988456217e-06,0.010073300000000004,0.2,False,False
SPEI_3M,SOLAR,10,2,0.05539919999999999,2.84635281385281e-05,0.03114159999999998,0.0,True,True
SPEI_3M,SOLAR,11,2,0.08093030000000002,7.394707792207793e-05,0.05749400000000002,0.2,False,False
SPEI_3M,SOLAR,12,2,0.10145030000000002,0.00010221399711399714,0.07383030000000002,0.0,True,True
