target,predictor,lag,E,final_rho,slope,improvement,p_value,significant,passed
SPI_6M,WP,0,2,0.04780370000000001,7.581292857142858e-05,0.04872660000000001,0.4,False,False
SPI_6M,WP,1,2,0.0912945,0.00017247153571428567,0.0975588,0.2,False,False
SPI_6M,WP,2,2,-0.11829670000000002,-0.00015453071428571432,-0.10102860000000002,1.0,False,False
SPI_6M,WP,3,2,0.0179354,3.0441571428571438e-05,0.023748400000000003,0.2,False,False
SPI_6M,WP,4,2,-0.023151500000000002,-2.302610714285717e-05,-0.017433700000000003,0.6,False,False
SPI_6M,WP,5,2,-0.041345900000000005,-0.00010349867857142854,-0.0533638,1.0,False,False
SPI_6M,WP,6,2,0.0418494,3.922770562770564e-05,0.0269695,0.2,False,False
SPI_6M,WP,7,2,0.04347049999999999,5.544112554112554e-05,0.04080029999999999,0.2,False,False
SPI_6M,WP,8,2,0.10290659999999997,0.00015740656565656566,0.10024749999999998,0.0,True,True
SPI_6M,WP,9,2,0.0956881,0.00018264123376623384,0.1069131,0.2,False,False
SPI_6M,WP,10,2,-0.03680599999999999,-5.6619372294372307e-05,-0.03366209999999999,1.0,False,False
SPI_6M,WP,11,2,-0.1127971,-0.00014810710678210673,-0.0937345,1.0,False,False
SPI_6M,WP,12,2,-0.06148000000000001,-8.440386297376093e-05,-0.04864,1.0,False,False
SPI_6M,ONI,0,2,0.030569000000000002,4.853982142857141e-05,0.0274197,0.8,False,False
SPI_6M,ONI,1,2,-0.012222600000000004,-3.387271428571429e-05,-0.017123900000000004,0.8,False,False
SPI_6M,ONI,2,2,-0.07025290000000001,-0.00011853571428571429,-0.0679936,1.0,False,False
SPI_6M,ONI,3,2,-0.11550499999999998,-0.00020012867857142856,-0.11813779999999999,1.0,False,False
SPI_6M,ONI,4,2,-0.129751,-0.00021521139285714288,-0.12498290000000001,1.0,False,False
SPI_6M,ONI,5,2,-0.0950102,-0.00017378517857142854,-0.1006973,1.0,False,False
SPI_6M,ONI,6,2,-0.0949493,-0.00017204635642135646,-0.0957786,1.0,False,False
SPI_6M,ONI,7,2,-0.05322779999999999,-9.79227272727273e-05,-0.057731099999999994,0.6,False,False
SPI_6M,ONI,8,2,-0.0092245,-2.2584776334776354e-05,-0.0173886,0.8,False,False
SPI_6M,ONI,9,2,0.0350412,4.382489177489177e-05,0.0279784,0.4,False,False
SPI_6M,ONI,10,2,0.0742043,0.0001064294733044733,0.060917599999999995,0.2,False,False
SPI_6M,ONI,11,2,0.08344689999999998,0.00011704595959595958,0.07017159999999997,0.0,True,True
SPI_6M,ONI,12,2,0.09669829999999999,0.0001483717930029154,0.08948709999999999,0.0,True,True
SPI_6M,PNA,0,2,0.0686264,0.00012102489285714287,0.0610426,0.0,True,True
SPI_6M,PNA,1,2,0.0718509,0.00011049960714285712,0.0702578,0.2,False,False
SPI_6M,PNA,2,2,0.0056324999999999995,-3.2688928571428546e-05,-0.0149409,0.4,False,False
SPI_6M,PNA,3,2,0.057260399999999996,6.082771428571431e-05,0.0499045,0.0,True,True
SPI_6M,PNA,4,2,0.019027299999999997,2.665275e-05,0.016955299999999996,0.2,False,False
SPI_6M,PNA,5,2,0.0353967,2.635935714285715e-05,0.008885400000000005,0.2,False,False
SPI_6M,PNA,6,2,0.014700300000000001,3.0333621933621962e-05,0.0148808,0.2,False,False
SPI_6M,PNA,7,2,0.01374,2.5669841269841276e-05,0.0171621,0.4,False,False
SPI_6M,PNA,8,2,0.0507563,9.022492784992788e-05,0.050092199999999996,0.0,True,True
SPI_6M,PNA,9,2,0.0581921,8.64792568542569e-05,0.0527934,0.0,True,True
SPI_6M,PNA,10,2,0.010398000000000001,-9.053751803751791e-07,-0.00010489999999999805,0.2,False,False
SPI_6M,PNA,11,2,0.0542622,0.00010518888888888891,0.0624116,0.0,True,True
SPI_6M,PNA,12,2,-0.047299200000000007,-3.212248542274054e-05,-0.025702600000000006,1.0,False,False
SPI_6M,NAO,0,2,-0.005557200000000001,4.8174285714285676e-06,-0.008985900000000002,0.6,False,False
SPI_6M,NAO,1,2,-0.006156999999999999,-2.8059714285714272e-05,-0.013253299999999999,0.2,False,False
SPI_6M,NAO,2,2,-0.049464199999999986,-6.984367857142857e-05,-0.04349779999999999,0.8,False,False
SPI_6M,NAO,3,2,0.08690559999999997,0.0001178995714285714,0.08036669999999997,0.0,True,True
SPI_6M,NAO,4,2,0.12732100000000002,0.0001496498928571429,0.08278760000000002,0.0,True,True
SPI_6M,NAO,5,2,0.0019638,-4.174117857142854e-05,-0.0341352,0.4,False,False
SPI_6M,NAO,6,2,0.07663719999999999,9.77089466089466e-05,0.06829279999999999,0.2,False,False
SPI_6M,NAO,7,2,-0.0549368,-8.575194805194808e-05,-0.0544872,1.0,False,False
SPI_6M,NAO,8,2,-0.050822299999999994,-8.785916305916306e-05,-0.048836899999999996,1.0,False,False
SPI_6M,NAO,9,2,0.052152699999999996,7.677817460317463e-05,0.048394599999999996,0.0,True,True
SPI_6M,NAO,10,2,0.0312905,6.983578643578645e-05,0.037728899999999996,0.4,False,False
SPI_6M,NAO,11,2,-0.0002347,1.7955447330447346e-05,0.0149204,0.6,False,False
SPI_6M,NAO,12,2,0.030531899999999997,4.718604227405247e-05,0.0334992,0.2,False,False
