predictor,lag,final_rho,improvement,p_value
NAO,11,0.0567937999999999,0.0543245999999999,0.0
NINO34,6,0.0894474,0.0643637,0.0
NINO34,7,0.0900451,0.0643832,0.0
ONI,6,0.0845172999999999,0.0652578999999999,0.0
ONI,7,0.0750272,0.0546802,0.0
PDO,2,0.0575737999999999,0.0191069999999999,0.0
PDO,10,0.0543504999999999,-0.033907,0.0
PDO,11,0.0629798999999999,-0.0273134,0.0
Precipitation_1M,0,0.1296637,0.0423953,0.0
Precipitation_1M,1,0.1262001999999999,0.0295478999999999,0.0
Precipitation_1M,2,0.0945268,-0.0159698,0.0
Precipitation_1M,4,0.1119218999999999,0.0142946999999999,0.0
Precipitation_1M,5,0.0681591999999999,-0.0369276,0.0
Precipitation_1M,6,0.1474092,0.044092,0.0
Precipitation_1M,7,0.165888,0.0665256,0.0
Precipitation_1M,8,0.2357643999999999,0.1254741999999999,0.0
Precipitation_1M,9,0.2568613999999999,0.1475300999999999,0.0
Precipitation_1M,11,0.4499712999999999,0.1895400999999998,0.0
Precipitation_3M,0,0.2385997999999999,0.0264556999999999,0.0
Precipitation_3M,1,0.2338885999999999,0.0127679999999999,0.0
Precipitation_3M,2,0.2665692999999999,0.0747848999999999,0.0
Precipitation_3M,3,0.2068138,-0.0019203999999999,0.0
Precipitation_3M,4,0.2236259999999999,0.0250357999999999,0.0
Precipitation_3M,5,0.2408396,0.0319142,0.0
Precipitation_3M,6,0.2933684,0.0727151,0.0
Precipitation_3M,7,0.3076580999999999,0.0711034999999999,0.0
Precipitation_3M,8,0.3572388999999999,0.1421759999999999,0.0
Precipitation_3M,9,0.3308878,0.1269403,0.0
Precipitation_3M,10,0.2067174,0.0551763,0.0
Precipitation_3M,11,0.1500177,0.064305,0.0
Precipitation_6M,0,0.4574418999999999,0.0502839999999999,0.0
Precipitation_6M,1,0.4283769999999999,0.0394543999999998,0.0
Precipitation_6M,2,0.4363528,0.0429517999999999,0.0
Precipitation_6M,3,0.4139326999999999,0.0116134999999998,0.0
Precipitation_6M,4,0.4369849,0.0210825,0.0
Precipitation_6M,5,0.4760423,0.0610876,0.0
Precipitation_6M,6,0.4784154,0.0938460999999999,0.0
Precipitation_6M,7,0.3657893,0.080716,0.0
Precipitation_6M,8,0.2532553,0.0563197,0.0
Precipitation_6M,9,0.1592804,0.0457081999999999,0.0
Precipitation_6M,10,0.1353077,0.0546663,0.0
SOLAR,5,0.0666864999999999,0.0263224999999999,0.0
SOLAR,7,0.045099,0.006885,0.0
Temperature_1M,6,0.1971493,0.1383172,0.0
Temperature_1M,9,0.1069828,0.0930062,0.0
Temperature_3M,3,0.064552,0.0286999999999999,0.0
Temperature_3M,4,0.1403156,0.0861623,0.0
Temperature_3M,5,0.1912040999999999,0.1343483999999999,0.0
Temperature_3M,7,0.1348966999999999,0.1067964999999999,0.0
Temperature_3M,8,0.0921199,0.0777088,0.0
Temperature_6M,1,0.0639074999999999,0.0517999999999999,0.0
Temperature_6M,2,0.1032475,0.0666425,0.0
Temperature_6M,3,0.1673649999999999,0.1007489999999999,0.0
Temperature_6M,4,0.2078725,0.128248,0.0
Temperature_6M,5,0.1764252999999999,0.1292698999999999,0.0
WP,7,0.0965933,0.0886558,0.0
