predictor,lag,final_rho,improvement,p_value
NAO,1,0.0764711,0.0844571,0.0
NAO,10,0.1085619999999999,0.1078039,0.0
PDO,12,0.0651562,-0.0077471999999999,0.0
PNA,2,0.0802304,0.0676536,0.0
PNA,5,0.0808512,0.0797084,0.0
Precipitation_1M,0,0.110788,0.0142334,0.0
Precipitation_1M,1,0.0819344999999999,-0.0252086,0.0
Precipitation_1M,2,0.0555501,-0.0668065999999999,0.0
Precipitation_1M,3,0.013546,-0.0716585,0.0
Precipitation_1M,4,0.191463,0.0940409,0.0
Precipitation_1M,5,0.1264302,0.0330119999999999,0.0
Precipitation_1M,9,0.1118731999999999,0.0301511999999999,0.0
Precipitation_1M,10,0.066593,-0.0216622,0.0
Precipitation_1M,11,0.4676959,0.199701,0.0
Precipitation_3M,0,0.2240465,0.0094927,0.0
Precipitation_3M,1,0.1826511999999999,-0.0413676,0.0
Precipitation_3M,2,0.1961518,-0.0269443,0.0
Precipitation_3M,3,0.2280384,0.0236479,0.0
Precipitation_3M,4,0.2080573999999999,-0.0211895,0.0
Precipitation_3M,5,0.2408778999999999,0.0156265999999999,0.0
Precipitation_3M,6,0.2229727,0.0086875,0.0
Precipitation_3M,7,0.1945656,-0.0148508,0.0
Precipitation_3M,8,0.1914669999999999,-0.0073615,0.0
Precipitation_3M,9,0.2710132,0.0670304000000001,0.0
Precipitation_3M,10,0.2127449,0.079036,0.0
Precipitation_3M,11,0.1202970999999999,0.0295006999999999,0.0
Precipitation_6M,0,0.4392078,0.0274248,0.0
Precipitation_6M,1,0.3825782,-0.0290031,0.0
Precipitation_6M,2,0.4179407,0.011123,0.0
Precipitation_6M,3,0.4148011,2.649999999998487e-05,0.0
Precipitation_6M,4,0.4526858,0.0205555,0.0
Precipitation_6M,5,0.4466814,0.0162617000000001,0.0
Precipitation_6M,6,0.4212943,0.0428758,0.0
Precipitation_6M,7,0.3076305,0.0365298,0.0
Precipitation_6M,8,0.2468929,0.0652172,0.0
Precipitation_6M,9,0.132167,0.0161763,0.0
Precipitation_6M,10,0.0188608,-0.055349,0.0
Precipitation_6M,11,0.0098143,-0.0415888999999999,0.0
SOLAR,4,0.0102298999999999,-0.007319,0.0
SOLAR,6,0.0453759,0.0045873,0.0
SOLAR,7,0.0380141,0.0074402,0.0
SOLAR,8,0.0605116,0.0042594,0.0
SOLAR,9,0.0393528,-0.0076379999999999,0.0
Temperature_1M,3,-0.0180404,-0.0114893,0.0
Temperature_1M,6,-0.0009861999999999,-0.0207024,0.0
Temperature_1M,8,-0.0082854,-0.0200254,0.0
Temperature_3M,3,-0.0381844,-0.0457307,0.0
Temperature_3M,4,-0.0188884,-0.0306836999999999,0.0
Temperature_3M,5,-0.0132672,-0.0426452,0.0
Temperature_3M,6,-0.0035959,-0.0120591,0.0
Temperature_3M,7,-0.0138071,-0.0124143,0.0
Temperature_6M,3,-0.0116177,-0.0396031,0.0
Temperature_6M,4,0.0090458,-0.0168988,0.0
Temperature_6M,5,0.0016273999999999,-0.0246918999999999,0.0
WP,4,0.0532603,0.0524892,0.0
WP,5,0.0205293,0.0129589,0.0
WP,8,0.1016094999999999,0.0874004999999999,0.0
